key,source_location,ui_area,text_type,en,de_suggested,context,placeholders,notes,review_status
nav.app,src/psm_tool/ui/page_nav.py,navigation,label,App,App,Sidebar navigation label for landing page,,Existing translation reviewed,reviewed
nav.upload,src/psm_tool/ui/page_nav.py,navigation,label,Upload,Upload,Sidebar navigation label for upload page,,Existing translation reviewed,reviewed
nav.results,src/psm_tool/ui/page_nav.py,navigation,label,Results,Ergebnisse,Sidebar navigation label for results page,,Existing translation reviewed,reviewed
nav.export,src/psm_tool/ui/page_nav.py,navigation,label,Export,Export,Sidebar navigation label for export page,,Existing translation reviewed,reviewed
nav.knowledge,src/psm_tool/ui/page_nav.py,navigation,label,Knowledge,Methodik,Sidebar navigation label for knowledge page,,Existing translation reviewed; DE optimized for MR/Product/Management audience,reviewed
nav.previous,src/psm_tool/ui/page_nav.py,navigation,label,Previous,Zurück,Prefix for compact previous-page link in sidebar,,Existing translation improved,reviewed
nav.next,src/psm_tool/ui/page_nav.py,navigation,label,Next,Weiter,Prefix for compact next-page link in sidebar,,Existing translation reviewed,reviewed
nav.brand.pricey,src/psm_tool/ui/style.py,navigation,title,PRICEY,PRICEY,Brand label injected above the sidebar navigation,,Brand text reused from app title,reviewed
language.switch.en,src/psm_tool/ui/page_nav.py,navigation,button,EN,EN,Compact language switch button for English,,Language code shown as UI label; keep runtime logic en/de separate; DE optimized for MR/Product/Management audience,reviewed
language.switch.de,src/psm_tool/ui/page_nav.py,navigation,button,DE,DE,Compact language switch button for German,,Language code shown as UI label; identical in DE; DE optimized for MR/Product/Management audience,reviewed
language.switch.help.en,src/psm_tool/ui/page_nav.py,navigation,tooltip,English,Englisch,Tooltip/help for EN button,,Runtime help text; DE optimized for MR/Product/Management audience,reviewed
language.switch.help.de,src/psm_tool/ui/page_nav.py,navigation,tooltip,Deutsch,Deutsch,Tooltip/help for DE button,,Runtime help text; already German; DE optimized for MR/Product/Management audience,reviewed
app.eyebrow,src/psm_tool/ui/app.py,app,title,Pricing Research Toolkit,Pricing Research Toolkit,Landing page eyebrow above main title,,Brand-like label; keep English brand phrasing,reviewed
app.title,src/psm_tool/ui/app.py,app,title,PRICEY,PRICEY,Landing page title/brand,,Brand name; do not translate,reviewed
app.caption,src/psm_tool/ui/app.py,app,caption,Pricey - Pricing Research Toolkit - Measure price perception. Simulate demand. Find the optimal price.,Pricey – Pricing Research Toolkit – Preiswahrnehmung messen. Nachfrage simulieren. Den optimalen Preis finden.,Landing page intro caption,,Presentation-facing intro copy; DE optimized for MR/Product/Management audience,reviewed
app.privacy_notice,src/psm_tool/ui/app.py,app,info,This app analyzes uploaded pricing survey data fully in-memory. No raw upload files are written to disk by default.,Diese App analysiert hochgeladene Pricing-Survey-Daten vollständig im Arbeitsspeicher. Rohdaten aus Uploads werden standardmäßig nicht auf die Festplatte geschrieben.,Landing page privacy notice,,User-facing privacy statement; DE optimized for MR/Product/Management audience,reviewed
app.step.upload.title,src/psm_tool/ui/app.py,app,label,1 Upload,1 Upload,Landing page step card title,,Keep page numbering aligned with app,reviewed
app.step.upload.copy,src/psm_tool/ui/app.py,app,label,"Load CSV/XLSX, validate template, or use demo data.","CSV/XLSX laden, Vorlage validieren oder Demodaten verwenden.",Landing page step card copy,,Short workflow description; DE optimized for MR/Product/Management audience,reviewed
app.step.results.title,src/psm_tool/ui/app.py,app,label,2 Results,2 Ergebnisse,Landing page step card title,,Short page title for roadmap card,reviewed
app.step.results.copy,src/psm_tool/ui/app.py,app,label,"Run PSM + optional NMS, review KPIs and quality checks.","PSM und optional NMS ausführen, KPIs und Qualitätschecks prüfen.",Landing page step card copy,,Short workflow description; DE optimized for MR/Product/Management audience,reviewed
app.step.export.title,src/psm_tool/ui/app.py,app,label,3 Export,3 Export,Landing page step card title,,Short page title for roadmap card,reviewed
app.step.export.copy,src/psm_tool/ui/app.py,app,label,Download PowerPoint and Excel exports generated in-memory.,Im Arbeitsspeicher erzeugte PowerPoint- und Excel-Exporte herunterladen.,Landing page step card copy,,Short workflow description; DE optimized for MR/Product/Management audience,reviewed
app.demo_mode_notice,src/psm_tool/ui/app.py,warning,warning,DEMO_MODE is enabled. Strict upload limits are active and raw respondent-level output is hidden.,DEMO_MODE ist aktiv. Es gelten strenge Upload-Limits; respondentenscharfe Rohdaten werden ausgeblendet.,Landing page demo notice,,System/runtime mode warning; DE optimized for MR/Product/Management audience,reviewed
auth.password_label,src/psm_tool/ui/auth.py,authentication,label,Application password,App-Passwort,Password field label before entering app,,Short and formal; DE optimized for MR/Product/Management audience,reviewed
auth.required_caption,src/psm_tool/ui/auth.py,authentication,caption,Authentication required. Enter the application password to continue.,"Authentifizierung erforderlich. Bitte App-Passwort eingeben, um fortzufahren.",Caption shown when auth is required,,Direct access message; DE optimized for MR/Product/Management audience,reviewed
upload.eyebrow,src/psm_tool/ui/pages/1_upload.py,upload,title,Data Intake,Datenimport,Upload page eyebrow,,Professional research workflow wording; DE optimized for MR/Product/Management audience,reviewed
upload.title,src/psm_tool/ui/pages/1_upload.py,upload,title,1. Upload,1. Upload,Upload page title,,Page title,reviewed
upload.accepted_formats,src/psm_tool/ui/pages/1_upload.py,upload,caption,"Accepted formats: CSV, XLSX","Akzeptierte Formate: CSV, XLSX",Upload page caption under title,,Static caption; DE optimized for MR/Product/Management audience,reviewed
upload.privacy_notice,src/psm_tool/ui/pages/1_upload.py,upload,info,Privacy safeguard: all uploaded files are processed in-memory and not persisted by default.,Datenschutzhinweis: Alle hochgeladenen Dateien werden im Arbeitsspeicher verarbeitet und standardmäßig nicht persistent gespeichert.,Upload privacy notice,,User-facing privacy text; DE optimized for MR/Product/Management audience,reviewed
upload.template_section_title,src/psm_tool/ui/pages/1_upload.py,upload,title,Template and Demo Data,Vorlagen und Demodaten,Card title for template/demo downloads,,UI section title; DE optimized for MR/Product/Management audience,reviewed
upload.button.download_csv_template,src/psm_tool/ui/pages/1_upload.py,upload,button,Download CSV template,CSV-Vorlage herunterladen,Template download button,,Button label; DE optimized for MR/Product/Management audience,reviewed
upload.button.download_xlsx_template,src/psm_tool/ui/pages/1_upload.py,upload,button,Download XLSX template,XLSX-Vorlage herunterladen,Template download button,,Button label; DE optimized for MR/Product/Management audience,reviewed
upload.notice.sav_disabled,src/psm_tool/io/read_any.py,upload,warning,SAV uploads are disabled in the app because uploaded files must be processed fully in-memory. Please convert SAV to CSV or XLSX first.,SAV-Uploads sind in der App deaktiviert, weil hochgeladene Dateien vollständig im Arbeitsspeicher verarbeitet werden müssen. Bitte SAV vorher in CSV oder XLSX konvertieren.,Warning surfaced when SAV upload is attempted outside the supported upload types,,Existing translation reviewed,reviewed
upload.button.load_example_dataset,src/psm_tool/ui/pages/1_upload.py,upload,button,Load example dataset,Beispieldatensatz laden,Button for loading bundled sample dataset,,Button label; DE optimized for MR/Product/Management audience,reviewed
upload.input_section_title,src/psm_tool/ui/pages/1_upload.py,upload,title,Upload Input File,Eingabedatei hochladen,Card title for dataset upload,,UI section title; DE optimized for MR/Product/Management audience,reviewed
upload.notice.current_dataset_loaded,src/psm_tool/ui/pages/1_upload.py,upload,info,Current dataset loaded: {source},Aktuell geladener Datensatz: {source},Positive notice when a dataset is already loaded,{source},Normalized placeholder from f-string; DE optimized for MR/Product/Management audience,reviewed
upload.button.remove_current_dataset,src/psm_tool/ui/pages/1_upload.py,upload,button,Remove current dataset,Aktuellen Datensatz entfernen,Button to clear current upload from session,,Button label; DE optimized for MR/Product/Management audience,reviewed
upload.file_uploader.label,src/psm_tool/ui/pages/1_upload.py,upload,label,Choose input dataset,Datensatz auswählen,File uploader label,,Input label; DE optimized for MR/Product/Management audience,reviewed
upload.file_uploader.help,src/psm_tool/ui/pages/1_upload.py,upload,tooltip,Required template columns must match exactly.,Die erforderlichen Vorlagenspalten müssen exakt übereinstimmen.,File uploader help text,,Tooltip/help text; DE optimized for MR/Product/Management audience,reviewed
upload.notice.demo_limit_exceeded,src/psm_tool/ui/pages/1_upload.py,upload,warning,"DEMO_MODE upload limit exceeded: {rows} rows provided, max {limit} allowed.","DEMO_MODE-Uploadlimit überschritten: {rows} Zeilen bereitgestellt, maximal {limit} zulässig.",Warning shown when demo upload row limit is exceeded,{rows}; {limit},Normalized placeholders from f-string; DE optimized for MR/Product/Management audience,reviewed
upload.notice.loaded_file,src/psm_tool/ui/pages/1_upload.py,upload,info,Loaded '{filename}' with {rows} rows.,„{filename}“ mit {rows} Zeilen geladen.,Positive notice after successful upload,{filename}; {rows},Normalized placeholders from f-string; DE optimized for MR/Product/Management audience,reviewed
upload.notice.detected_pi_ladder,src/psm_tool/ui/pages/1_upload.py,upload,info,Detected optional purchase intention ladder table (sheet 'purchase_intention').,Optionale Kaufabsichts-Preisleiter erkannt (Sheet „purchase_intention“).,Positive notice when extra PI ladder sheet is found,,Keep metric names purchase_intention / Purchase Intention consistent; DE optimized for MR/Product/Management audience,reviewed
upload.notice.no_valid_dataset,src/psm_tool/ui/pages/1_upload.py,upload,warning,No valid dataset loaded yet.,Noch kein gültiger Datensatz geladen.,Warning before dataset is available,,Short status message; DE optimized for MR/Product/Management audience,reviewed
upload.notice.dataset_valid,src/psm_tool/ui/pages/1_upload.py,upload,info,Dataset loaded and valid for analysis.,Datensatz geladen und für die Analyse gültig.,Positive notice after validation,,Status message; DE optimized for MR/Product/Management audience,reviewed
upload.preview.expander,src/psm_tool/ui/pages/1_upload.py,upload,tab,Preview first 30 rows,Erste 30 Zeilen anzeigen,Expander label for raw data preview,,Expander label; DE optimized for MR/Product/Management audience,reviewed
upload.preview.demo_hidden,src/psm_tool/ui/pages/1_upload.py,upload,caption,DEMO_MODE hides raw row preview.,DEMO_MODE blendet die Rohdatenvorschau aus.,Caption shown in demo mode instead of preview,,System/runtime note; DE optimized for MR/Product/Management audience,reviewed
upload.metric.rows,src/psm_tool/ui/pages/1_upload.py,upload,label,Rows,Zeilen,Metric label for loaded dataset size,,Metric label; DE optimized for MR/Product/Management audience,reviewed
upload.metric.columns,src/psm_tool/ui/pages/1_upload.py,upload,label,Columns,Spalten,Metric label for number of columns,,Metric label; DE optimized for MR/Product/Management audience,reviewed
upload.metric.countries,src/psm_tool/ui/pages/1_upload.py,upload,label,Countries,Länder,Metric label for distinct segments/countries,,Metric label; DE optimized for MR/Product/Management audience,reviewed
upload.metric.product_categories,src/psm_tool/ui/pages/1_upload.py,upload,label,Product Categories,Produktkategorien,Metric label for distinct products,,Metric label; DE optimized for MR/Product/Management audience,reviewed
upload.metric.currencies,src/psm_tool/ui/pages/1_upload.py,upload,label,Currencies,Währungen,Metric label for distinct currencies,,Metric label; DE optimized for MR/Product/Management audience,reviewed
upload.display.sample_dataset_name,src/psm_tool/ui/pages/1_upload.py,upload,label,demo_psm.csv (synthetic example dataset),demo_psm.csv (synthetischer Beispieldatensatz),Friendly display name for bundled sample dataset,,Synthetic dataset label; DE optimized for MR/Product/Management audience,reviewed
validation.error.missing_required_columns,src/psm_tool/io/validate.py,validation,error,Missing required columns: {columns},Fehlende Pflichtspalten: {columns},Validation error when schema columns are missing,{columns},Dynamic error message; DE optimized for MR/Product/Management audience,reviewed
validation.warning.recommended_product_id_missing,src/psm_tool/io/validate.py,validation,warning,Recommended column 'product_id' missing; defaulting to 'default_product'.,Empfohlene Spalte 'product_id' fehlt; es wird 'default_product' verwendet.,Validation warning when product_id is absent,,Dynamic default name kept technical; DE optimized for MR/Product/Management audience,reviewed
validation.warning.non_numeric_values,src/psm_tool/io/validate.py,validation,warning,Column '{column}' has {count} non-numeric values; coerced to missing.,Spalte '{column}' enthält {count} nichtnumerische Werte; sie wurden als fehlend behandelt.,Validation warning for non-numeric coercion,{column}; {count},Dynamic warning message; DE optimized for MR/Product/Management audience,reviewed
validation.warning.non_positive_weight,src/psm_tool/io/validate.py,validation,warning,Column 'weight' has {count} non-positive values; they are ignored in weighted stats.,Spalte 'weight' enthält {count} nichtpositive Werte; sie werden in gewichteten Kennzahlen ignoriert.,Validation warning for unusable weights,{count},Dynamic warning message; DE optimized for MR/Product/Management audience,reviewed
validation.warning.invalid_puki,src/psm_tool/io/validate.py,validation,warning,Column 'puki' has {count} values outside 1..5; they are ignored.,Spalte 'puki' enthält {count} Werte außerhalb von 1..5; sie werden ignoriert.,Validation warning for invalid PUKI values,{count},Dynamic warning message; DE optimized for MR/Product/Management audience,reviewed
validation.warning.invalid_pi_range,src/psm_tool/io/validate.py,validation,warning,Column '{pi_col}' has {count} values outside 0..100; NMS clamps them.,Spalte '{pi_col}' enthält {count} Werte außerhalb von 0..100; NMS begrenzt sie.,Validation warning for PI range violations,{pi_col}; {count},Dynamic warning message; DE optimized for MR/Product/Management audience,reviewed
validation.warning.negative_price_treated_missing,src/psm_tool/io/validate.py,validation,warning,Column '{column}' has {count} negative values; treated as missing.,Spalte '{column}' enthält {count} negative Werte; sie werden als fehlend behandelt.,Validation warning for negative price thresholds,{column}; {count},Dynamic warning message; DE optimized for MR/Product/Management audience,reviewed
validation.warning.pi_fraction_normalized,src/psm_tool/io/validate.py,validation,warning,PI unit normalized: detected fraction scale (0..1) and converted to percent (0..100).,PI-Einheit normalisiert: 0..1-Skala erkannt und in Prozent (0..100) umgerechnet.,Validation warning for PI unit normalization,,Keep PI terminology; DE optimized for MR/Product/Management audience,reviewed
validation.warning.pi_code11_normalized,src/psm_tool/io/validate.py,validation,warning,PI unit normalized: detected coded scale (1..11) and converted to percent (0..100).,PI-Einheit normalisiert: codierte Skala (1..11) erkannt und in Prozent (0..100) umgerechnet.,Validation warning for coded 1..11 PI normalization,,Keep PI terminology; DE optimized for MR/Product/Management audience,reviewed
validation.warning.pi_tiny_fraction,src/psm_tool/io/validate.py,validation,warning,PI values look like fractions but are extremely small; not auto-scaled. Confirm units.,"PI-Werte wirken wie Werte auf einer 0..1-Skala, sind aber extrem klein; keine automatische Skalierung. Bitte Einheiten prüfen.",Validation warning for tiny fraction PI values,,Keep technical nuance; DE optimized for MR/Product/Management audience,reviewed
validation.error.pi_mixed_units,src/psm_tool/io/validate.py,validation,error,Mixed PI units detected: one PI column looks like fraction scale (0..1) while the other looks like percent scale (0..100). Please provide consistent units.,"Gemischte PI-Einheiten erkannt: Eine PI-Spalte wirkt wie 0..1-Skala, die andere wie Prozentskala (0..100). Bitte konsistente Einheiten bereitstellen.",Validation error for mixed PI units,,Critical validation error; DE optimized for MR/Product/Management audience,reviewed
io.error.sav_dependency_missing,src/psm_tool/io/read_any.py,upload,error,"SAV support requires optional dependency 'pyreadstat'. Install in this repo with: pip install -e .[sav] (or from package index: pip install """"psm-tool[sav]"""").","SAV-Unterstützung erfordert die optionale Abhängigkeit 'pyreadstat'. Installation in diesem Repo mit: pip install -e .[sav] (oder aus dem Paketindex: pip install ""psm-tool[sav]"").",Error when SAV support is requested without dependency,,Technical install guidance; keep commands; DE optimized for MR/Product/Management audience,reviewed
io.error.pi_ladder_missing_columns,src/psm_tool/io/read_any.py,validation,error,"Purchase intention ladder missing required columns: price, purchase_intention_pct","Der Kaufabsichts-Preisleiter fehlen erforderliche Spalten: price, purchase_intention_pct",Error when optional PI ladder lacks required columns,,Keep technical column names; DE optimized for MR/Product/Management audience,reviewed
io.error.pi_ladder_invalid_range,src/psm_tool/io/read_any.py,validation,error,Purchase intention ladder values must be in range 0..100 (percent) or 0..1 (fraction scale).,Werte im Kaufabsichts-Preisleiter müssen im Bereich 0..100 (Prozent) oder 0..1 (Skala) liegen.,Error when PI ladder values are out of accepted range,,Technical validation message; DE optimized for MR/Product/Management audience,reviewed
io.error.pi_ladder_post_normalization,src/psm_tool/io/read_any.py,validation,error,Purchase intention ladder values exceed 100 after normalization. Please verify PI units.,Werte im Kaufabsichts-Preisleiter überschreiten nach der Normalisierung 100. Bitte PI-Einheiten prüfen.,Error when normalized ladder exceeds 100,,Technical validation message; DE optimized for MR/Product/Management audience,reviewed
io.note.pi_ladder_negative_price,src/psm_tool/io/read_any.py,validation,warning,Negative ladder prices treated as missing: {count} rows.,Negative Preise in der Preisleiter wurden als fehlend behandelt: {count} Zeilen.,Attribute note attached to PI ladder import,{count},May surface in downstream UI notes; DE optimized for MR/Product/Management audience,reviewed
io.error.pi_ladder_only_csv_xlsx,src/psm_tool/io/read_any.py,validation,error,PI ladder only supports CSV and XLSX files.,Der PI-Preisleiter unterstützt nur CSV- und XLSX-Dateien.,Error when PI ladder file type is unsupported,,Technical validation message; DE optimized for MR/Product/Management audience,reviewed
io.error.unsupported_file_type,src/psm_tool/io/read_any.py,upload,error,Unsupported file type: {suffix},Nicht unterstützter Dateityp: {suffix},Error when uploaded file type is unsupported,{suffix},Dynamic error message; DE optimized for MR/Product/Management audience,reviewed
upload.error.failed_to_read,src/psm_tool/ui/pages/1_upload.py,upload,error,Failed to read '{filename}': {error},„{filename}“ konnte nicht gelesen werden: {error},Upload read failure surfaced in UI,{filename}; {error},Normalized placeholders from f-string; DE optimized for MR/Product/Management audience,reviewed
results.eyebrow,src/psm_tool/ui/pages/2_results.py,results,title,Analysis Workspace,Analysebereich,Results page eyebrow,,Existing UI page eyebrow; DE optimized for MR/Product/Management audience,reviewed
results.title,src/psm_tool/ui/pages/2_results.py,results,title,2. Results,2. Ergebnisse,Results page title,,Page title; DE optimized for MR/Product/Management audience,reviewed
results.notice.no_dataset,src/psm_tool/ui/pages/2_results.py,results,warning,No dataset loaded. Run page '1 Upload' first (or again) to load data. Upload unlocks Results and Export.,"Kein Datensatz geladen. Bitte zunächst Seite '1 Upload' öffnen, um Daten zu laden. Upload schaltet Ergebnisse und Export frei.",Warning when user enters Results without data,,Multi-sentence status message; DE optimized for MR/Product/Management audience,reviewed
